country,gender,age,year
KAZ,muž,<65; 70),2023
JOR,muž,<40; 45),2023
KOR,muž,<65; 70),2023
MEX,muž,<5; 10),2023
MEX,muž,<45; 50),2023
MEX,muž,<50; 55),2023
MNG,muž,<5; 10),2023
MNG,muž,<35; 40),2023
MDA,muž,<15; 20),2023
MDA,muž,<25; 30),2023
NPL,muž,<0; 5),2023
NZL,muž,<25; 30),2023
NZL,muž,<75; 80),2023
NOR,muž,<5; 10),2023
PAK,muž,<30; 35),2023
PAK,muž,<50; 55),2023
POL,muž,<20; 25),2023
POL,muž,<35; 40),2023
POL,muž,<45; 50),2023
POL,muž,<80; 85),2023
ROU,muž,<15; 20),2023
RUS,muž,<15; 20),2023
RUS,muž,<55; 60),2023
RUS,muž,<60; 65),2023
SRB,muž,<50; 55),2023
SVK,muž,<20; 25),2023
SVK,muž,<80; 85),2023
SVN,muž,<45; 50),2023
SVN,muž,<70; 75),2023
ESP,muž,<0; 5),2023
ESP,muž,<55; 60),2023
SWE,muž,<10; 15),2023
SWE,muž,<60; 65),2023
TUN,muž,<20; 25),2023
TUN,muž,<30; 35),2023
TUN,muž,<60; 65),2023
TUN,muž,<70; 75),2023
TUR,muž,<20; 25),2023
TUR,muž,<30; 35),2023
TUR,muž,<50; 55),2023
TUR,muž,<60; 65),2023
UKR,muž,<15; 20),2023
UKR,muž,<25; 30),2023
UKR,muž,<40; 45),2023
UKR,muž,<75; 80),2023
EGY,muž,<5; 10),2023
GBR,muž,<40; 45),2023
USA,muž,<25; 30),2023
UZB,muž,<20; 25),2023
UZB,muž,<75; 80),2023
VEN,muž,<10; 15),2023
VEN,muž,<25; 30),2023
VEN,muž,<50; 55),2023
AUT,žena,<30; 35),2023
AUT,žena,<40; 45),2023
AUT,žena,<45; 50),2023
BIH,žena,<5; 10),2023
BIH,žena,<50; 55),2023
BIH,žena,<75; 80),2023
BIH,žena,<85; N),2023
BRA,žena,<15; 20),2023
BGR,žena,<5; 10),2023
BGR,žena,<30; 35),2023
BLR,žena,<0; 5),2023
BLR,žena,<75; 80),2023
CAN,žena,<0; 5),2023
CAN,žena,<10; 15),2023
CAN,žena,<80; 85),2023
CAN,žena,<85; N),2023
LKA,žena,<20; 25),2023
CHL,žena,<25; 30),2023
CHN,žena,<25; 30),2023
CHN,žena,<35; 40),2023
CHN,žena,<50; 55),2023
CHN,žena,<85; N),2023
TWN,žena,<20; 25),2023
TWN,žena,<60; 65),2023
COL,žena,<70; 75),2023
HRV,žena,<0; 5),2023
HRV,žena,<55; 60),2023
HRV,žena,<80; 85),2023
CUB,žena,<0; 5),2023
CUB,žena,<45; 50),2023
CUB,žena,<80; 85),2023
DNK,žena,<15; 20),2023
DNK,žena,<65; 70),2023
FRA,žena,<50; 55),2023
FRA,žena,<75; 80),2023
FRA,žena,<80; 85),2023
DEU,žena,<70; 75),2023
DEU,žena,<75; 80),2023
GHA,žena,<5; 10),2023
GHA,žena,<25; 30),2023
HUN,žena,<5; 10),2023
HUN,žena,<60; 65),2023
IND,žena,<5; 10),2023
IND,žena,<65; 70),2023
IRQ,žena,<0; 5),2023
IRQ,žena,<20; 25),2023
IRQ,žena,<45; 50),2023
IRQ,žena,<60; 65),2023
IRL,žena,<10; 15),2023
IRL,žena,<40; 45),2023
ISR,žena,<45; 50),2023
JPN,žena,<0; 5),2023
JPN,žena,<5; 10),2023
JPN,žena,<60; 65),2023
JPN,žena,<65; 70),2023
JPN,žena,<85; N),2023
KAZ,žena,<5; 10),2023
KAZ,žena,<10; 15),2023
KAZ,žena,<25; 30),2023
KAZ,žena,<30; 35),2023
KAZ,žena,<40; 45),2023
KAZ,žena,<75; 80),2023
KOR,žena,<5; 10),2023
KOR,žena,<35; 40),2023
KOR,žena,<60; 65),2023
KOR,žena,<75; 80),2023
KGZ,žena,<0; 5),2023
KGZ,žena,<30; 35),2023
KGZ,žena,<40; 45),2023
MYS,žena,<25; 30),2023
MNG,žena,<0; 5),2023
MNG,žena,<25; 30),2023
MNG,žena,<75; 80),2023
MDA,žena,<25; 30),2023
MDA,žena,<40; 45),2023
MDA,žena,<45; 50),2023
MDA,žena,<55; 60),2023
MDA,žena,<60; 65),2023
MDA,žena,<85; N),2023
NZL,žena,<35; 40),2023
PHL,žena,<45; 50),2023
POL,žena,<25; 30),2023
POL,žena,<30; 35),2023
POL,žena,<65; 70),2023
ROU,žena,<10; 15),2023
RUS,žena,<5; 10),2023
RUS,žena,<15; 20),2023
RUS,žena,<45; 50),2023
SRB,žena,<10; 15),2023
SRB,žena,<15; 20),2023
SRB,žena,<35; 40),2023
SRB,žena,<70; 75),2023
SVK,žena,<20; 25),2023
SVK,žena,<50; 55),2023
SVK,žena,<85; N),2023
VNM,žena,<5; 10),2023
VNM,žena,<25; 30),2023
VNM,žena,<45; 50),2023
ESP,žena,<80; 85),2023
SDN,žena,<35; 40),2023
SWE,žena,<60; 65),2023
THA,žena,<35; 40),2023
TUR,žena,<10; 15),2023
UKR,žena,<0; 5),2023
UKR,žena,<15; 20),2023
UKR,žena,<70; 75),2023
GBR,žena,<5; 10),2023
GBR,žena,<25; 30),2023
GBR,žena,<30; 35),2023
USA,žena,<25; 30),2023
USA,žena,<65; 70),2023
UZB,žena,<30; 35),2023
XXA,žena,<10; 15),2023
XXA,žena,<15; 20),2023
XXA,žena,<70; 75),2023
XXX,žena,<45; 50),2023
XXX,žena,<60; 65),2023
XXX,žena,<80; 85),2023
XXX,žena,<85; N),2023
ALB,muž,<10; 15),2023
ALB,muž,<20; 25),2023
ALB,muž,<40; 45),2023
AGO,muž,<20; 25),2023
AUS,muž,<10; 15),2023
AUS,muž,<45; 50),2023
BGD,muž,<50; 55),2023
BGD,muž,<55; 60),2023
MMR,muž,<65; 70),2023
CMR,muž,<20; 25),2023
COL,muž,<5; 10),2023
COL,muž,<70; 75),2023
COG,muž,<30; 35),2023
HRV,muž,<25; 30),2023
HRV,muž,<55; 60),2023
BEN,muž,<40; 45),2023
DOM,muž,<35; 40),2023
DOM,muž,<45; 50),2023
ECU,muž,<30; 35),2023
ECU,muž,<50; 55),2023
ETH,muž,<55; 60),2023
FIN,muž,<30; 35),2023
FIN,muž,<50; 55),2023
GEO,muž,<5; 10),2023
GEO,muž,<20; 25),2023
GEO,muž,<30; 35),2023
GEO,muž,<55; 60),2023
GEO,muž,<75; 80),2023
GIN,muž,<45; 50),2023
GIN,muž,<85; N),2023
IRL,muž,<70; 75),2023
ISR,muž,<35; 40),2023
ISR,muž,<40; 45),2023
CIV,muž,<30; 35),2023
CIV,muž,<60; 65),2023
LBN,muž,<70; 75),2023
LVA,muž,<20; 25),2023
LVA,muž,<25; 30),2023
LVA,muž,<45; 50),2023
LVA,muž,<50; 55),2023
LVA,muž,<60; 65),2023
LBY,muž,<45; 50),2023
LBY,muž,<70; 75),2023
LTU,muž,<20; 25),2023
MYS,muž,<40; 45),2023
MLI,muž,<10; 15),2023
MLI,muž,<80; 85),2023
MUS,muž,<25; 30),2023
MNE,muž,<60; 65),2023
MAR,muž,<20; 25),2023
MAR,muž,<35; 40),2023
MAR,muž,<60; 65),2023
NLD,muž,<0; 5),2023
NLD,muž,<15; 20),2023
NLD,muž,<20; 25),2023
NLD,muž,<40; 45),2023
NLD,muž,<60; 65),2023
PRT,muž,<40; 45),2023
PRT,muž,<50; 55),2023
GNB,muž,<20; 25),2023
RWA,muž,<40; 45),2023
SAU,muž,<35; 40),2023
SAU,muž,<65; 70),2023
SLE,muž,<30; 35),2023
SLE,muž,<50; 55),2023
SGP,muž,<35; 40),2023
SGP,muž,<65; 70),2023
SDN,muž,<20; 25),2023
SDN,muž,<30; 35),2023
SDN,muž,<40; 45),2023
CHE,muž,<15; 20),2023
THA,muž,<35; 40),2023
TGO,muž,<70; 75),2023
YEM,muž,<30; 35),2023
YEM,muž,<70; 75),2023
ZMB,muž,<5; 10),2023
ZMB,muž,<15; 20),2023
XXA,muž,<50; 55),2023
XXX,muž,<80; 85),2023
AFG,žena,<0; 5),2023
AFG,žena,<15; 20),2023
AFG,žena,<80; 85),2023
AGO,žena,<30; 35),2023
AUS,žena,<20; 25),2023
AUS,žena,<65; 70),2023
ARM,žena,<5; 10),2023
ARM,žena,<30; 35),2023
BEL,žena,<20; 25),2023
BEL,žena,<25; 30),2023
BEL,žena,<50; 55),2023
BEL,žena,<75; 80),2023
XKX,žena,<30; 35),2023
XKX,žena,<40; 45),2023
XKX,žena,<50; 55),2023
DOM,žena,<55; 60),2023
EST,žena,<35; 40),2023
EST,žena,<60; 65),2023
GEO,žena,<5; 10),2023
GEO,žena,<85; N),2023
GRC,žena,<85; N),2023
HND,žena,<20; 25),2023
HND,žena,<40; 45),2023
IRN,žena,<5; 10),2023
ITA,žena,<20; 25),2023
ITA,žena,<25; 30),2023
ITA,žena,<80; 85),2023
KEN,žena,<30; 35),2023
KEN,žena,<35; 40),2023
KEN,žena,<50; 55),2023
LBN,žena,<40; 45),2023
LBN,žena,<45; 50),2023
LVA,žena,<15; 20),2023
LTU,žena,<10; 15),2023
LTU,žena,<20; 25),2023
MEX,žena,<20; 25),2023
MEX,žena,<75; 80),2023
NAM,žena,<45; 50),2023
NOR,žena,<45; 50),2023
PAK,žena,<0; 5),2023
PAK,žena,<30; 35),2023
PAK,žena,<60; 65),2023
PRT,žena,<5; 10),2023
PRT,žena,<55; 60),2023
SGP,žena,<40; 45),2023
SGP,žena,<55; 60),2023
SVN,žena,<25; 30),2023
SVN,žena,<75; 80),2023
CHE,žena,<30; 35),2023
CHE,žena,<40; 45),2023
CHE,žena,<65; 70),2023
SYR,žena,<20; 25),2023
SYR,žena,<25; 30),2023
TJK,žena,<30; 35),2023
TKM,žena,<45; 50),2023
MKD,žena,<45; 50),2023
